slice_id,short_text,full_text
80452,Introducing Lay’s Poppables Made with Real Veggies - a wholesome and delicious snack in a unique poppable shape that’s satisfying without weighing you down.,"Introducing Lay’s Poppables Made with Real Veggies - a wholesome and delicious snack in a unique poppable shape that’s satisfying without weighing you down.

Lay’s Poppables Made with Real Veggies are light, airy and perfectly popped snacks with a blend of veggies in every bite. They are made from vibrant vegetables like spinach, tomato, and carrot, then simply seasoned with delicious flavors like Sea Salt, White Cheddar, and Parmesan Herb. Because these crispy, colorful chips are popped with veggie goodness, you can snack away without the guilt."
65897,"Introducing Doritos Power Shots Mighty Bites, the newest way to enjoy your favorite Doritos flavors.","Introducing Doritos Power Shots Mighty Bites, the newest way to enjoy your favorite Doritos flavors.

Mighty Bites are delicious mini-clusters of crushed Doritos and nuts rolled together for a protein-packed, satisfying snack to tide you over for your next task. Doritos Power Shots Mighty Bites give you the bold Doritos flavors you love in a new format to help sustain you. Enjoy your favorite Doritos flavors in these convenient, on-the-go snack packs.

Varieties include:

•Nacho Cheese

•Cool Ranch

•Spicy Sweet Chili"
80447,Introducing Lay’s Poppables Made with Real Black Beans - a wholesome and delicious snack in a unique poppable shape that’s satisfying without weighing you down.,"Introducing Lay’s Poppables Made with Real Black Beans - a wholesome and delicious snack in a unique poppable shape that’s satisfying without weighing you down.

Lay’s Poppables Made with Real Black Beans are light, airy and perfectly popped bites made from savory black beans – then simply seasoned with delicious flavors like Sea Salt and Zesty Queso. Because these crispy chips are popped with black bean goodness, you can snack away without the guilt."
65887,"Introducing Lay’s Flavor Shots Poppables, an airy, crispy version of America’s favorite potato snack that you can enjoy by the handful!","Introducing Lay’s Flavor Shots Poppables, an airy, crispy version of America’s favorite potato snack that you can enjoy by the handful!

When you want the delicious, savory taste that only a great potato chip can bring, but want something that’s a little lighter and easy to enjoy on the go, these fun-to-eat 3D snacks are just the answer. Satisfy that craving for something savory without weighing yourself down.

Varieties include:

•Creamy Jalapeño

•White Cheddar

•Sweet Chili"
65930,"Introducing Cheetos Dippers, specially crafted crunchy Cheetos paired with indulgent dips offering a multisensorial snacking experience the whole family will love!","Each **Cheetos Dippers** comes with an individually portioned dip like Spicy Salsa or Cheddar Cheese with specially shaped crunchy Cheetos for easy dipping. This ultra-convenient, all-in-one snack provides a delicious treat wherever you go."
63701,Introducing Doritos Crunchies – easily enjoy all the flavor and crunch that Doritos has to offer without the messy fingers.,"Super-moreish mini Doritos come in an EZ-Pour pack for instant snacking satisfaction. Just pop open the pack and pour a few mini Doritos straight into your mouth for a quick burst of flavor. Hands-free snacking means pure hunger satisfaction with no messy fingers, wherever you are or whatever you’re doing."
67722,Introducing Lay's Wavy Craft Cut– a classic wavy potato chip cut thick for the perfect hearty crunch.,"**_Lay’s Wavy Craft Cut_** are home-style, thicker cuts of potato giving you more flavor and great crunch in every bite. Each extra thick chip is perfectly designed to hold your favorite toppings, dips or spreads."
80135,"Introducing Ruffles Ridge Sticks - the crunchy potato chip you love, in a new fun shape and packaged in a portable canister for easy snacking.","Introducing Ruffles Ridge Sticks - the crunchy potato chip you love, in a new fun shape and packaged in a portable canister for easy snacking.

Each Ruffles Ridge Stick is cut into a spear shape and seasoned to perfection, for delicious flavorful crunch on-the go. Available in classic Ruffles flavors like Original, Cheddar Sour Cream, and Lime & Jalapeno."
81344,"Introducing Smartfood Naughty & Nice Mix, a colorful, sweet and spicy popcorn mix that makes a fun holiday snack no matter if you are on Santa's naughty or nice list!",Smartfood Naughty & Nice Mix is spicy flamin' hot popcorn and sweet caramel coated popcorn brought together in a festive holiday mix. Eat each flavor on its own or mix them together for the perfect spicy-sweet combination.
81564,Off the Eaten Path Veggie flats are vegetable chips that taste so good that you’ll never believe it!,"Inspired by the fun stuff, without any of the bad stuff, our Veggie Flats taste so good you’ll never believe they are made from real veggies. Delicious, nutritious, and all around better.

- Made by chip lovers (who also happen to love veggies too)
- Made with real vegetables, herbs & spices
- Available in flavors such as pizza and blooming onion, cheesy cauliflower
- Gently baked, not fried"
81339,"Introducing Cheetos Glitter Puffs, a bold and cheesy snack that will add a festive sparkle to snacking in the holiday season.","Cheetos Glitter Puffs are cheesy, airy Cheetos puffs made with real cheese for intense flavor and dusted with edible glitter to bring holiday cheer. Available in classically delicious Cheetos flavors in a decorative holiday tin for irresistible holiday snacking."
81559,Off the Eaten Path Veggie flats are vegetable chips that taste so good that you’ll never believe it!,"Inspired by the fun stuff, without any of the bad stuff, our Veggie Flats taste so good you’ll never believe they are made from real veggies. Delicious, nutritious, and all around better.

- Made by chip lovers (who also happen to love veggies too)
- Made with real vegetables, herbs & spices
- Available in flavors such as pizza and blooming onion, cheesy cauliflower
- Gently baked, not fried"
63696,Introducing Doritos Dippers – our new packaging means dunking your favorite chip in a dip has never been so easy.,"Doritos Dippers bring your favourite chips and dips into one pack – so you can pick, dunk and enjoy in one go. You don't even need to take your eyes off whatever you’re doing (studying, gaming etc.) to experience the satisfying and tasty combo of our bold chips and dips. Spend less time snacking and more time doing."
68942,"Introducing Cheetos Pretzel Twists, a supremely cheesy Cheetos take on classic, crunchy pretzel twists for a fun and unique snack that will excite your taste buds.","**Cheetos Pretzel Twists** combine the cheesy Cheetos flavors you know with a rich, hearty pretzel crunch. Available in delicious flavors like Cheddar or Flamin’ Hot, these tasty new snacks pack maximum Cheetos flavor into every pretzel bite."
81319,"Introducing Tostitos Holiday Trees, the salty, crunchy tortilla chips you know and love, with an exciting holiday twist to add a little festive spirit to any party or get-together.","Tostitos Holiday Trees are salted white corn tortilla chips with the classic Tostitos taste, shaped and colored as holiday trees. Serve alongside your favorite Tostitos salsa."
